Variable,Value
x_Customer_1_Steel_Plant,1.0
y_Customer_1_Steel_Plant_1,1000.0
y_Customer_1_Steel_Plant_2,1000.0
y_Customer_1_Steel_Plant_3,1000.0
y_Customer_1_Steel_Plant_4,1000.0
y_Customer_1_Steel_Plant_5,1000.0
y_Customer_1_Steel_Plant_6,1000.0
y_Customer_1_Steel_Plant_7,1000.0
y_Customer_1_Steel_Plant_8,1000.0
y_Customer_1_Steel_Plant_9,1000.0
y_Customer_1_Steel_Plant_10,1000.0
y_Customer_1_Steel_Plant_11,1000.0
y_Customer_1_Steel_Plant_12,1000.0
y_Customer_1_Steel_Plant_13,1000.0
y_Customer_1_Steel_Plant_14,1000.0
y_Customer_1_Steel_Plant_15,1000.0
y_Customer_1_Steel_Plant_16,1000.0
y_Customer_1_Steel_Plant_17,1000.0
y_Customer_1_Steel_Plant_18,1000.0
y_Customer_1_Steel_Plant_19,1000.0
y_Customer_1_Steel_Plant_20,1000.0
y_Customer_1_Steel_Plant_21,1000.0
y_Customer_1_Steel_Plant_22,1000.0
y_Customer_1_Steel_Plant_23,1000.0
y_Customer_1_Steel_Plant_24,1000.0
y_Customer_1_Steel_Plant_25,1000.0
y_Customer_1_Steel_Plant_26,1000.0
y_Customer_1_Steel_Plant_27,1000.0
y_Customer_1_Steel_Plant_28,1000.0
y_Customer_1_Steel_Plant_29,1000.0
y_Customer_1_Steel_Plant_30,1000.0
x_Customer_2_Chemical_Plant,1.0
y_Customer_2_Chemical_Plant_1,500.0
y_Customer_2_Chemical_Plant_2,500.0
y_Customer_2_Chemical_Plant_3,500.0
y_Customer_2_Chemical_Plant_4,500.0
y_Customer_2_Chemical_Plant_5,500.0
y_Customer_2_Chemical_Plant_6,500.0
y_Customer_2_Chemical_Plant_7,500.0
y_Customer_2_Chemical_Plant_8,500.0
y_Customer_2_Chemical_Plant_9,500.0
y_Customer_2_Chemical_Plant_10,500.0
y_Customer_2_Chemical_Plant_11,500.0
y_Customer_2_Chemical_Plant_12,500.0
y_Customer_2_Chemical_Plant_13,500.0
y_Customer_2_Chemical_Plant_14,500.0
y_Customer_2_Chemical_Plant_15,500.0
y_Customer_2_Chemical_Plant_16,500.0
y_Customer_2_Chemical_Plant_17,500.0
y_Customer_2_Chemical_Plant_18,500.0
y_Customer_2_Chemical_Plant_19,500.0
y_Customer_2_Chemical_Plant_20,500.0
y_Customer_2_Chemical_Plant_21,500.0
y_Customer_2_Chemical_Plant_22,500.0
y_Customer_2_Chemical_Plant_23,500.0
y_Customer_2_Chemical_Plant_24,500.0
y_Customer_2_Chemical_Plant_25,500.0
y_Customer_2_Chemical_Plant_26,500.0
y_Customer_2_Chemical_Plant_27,500.0
y_Customer_2_Chemical_Plant_28,500.0
y_Customer_2_Chemical_Plant_29,500.0
y_Customer_2_Chemical_Plant_30,500.0
x_Customer_3_Airport,1.0
y_Customer_3_Airport_1,251.89105357962964
y_Customer_3_Airport_2,251.8910535796297
y_Customer_3_Airport_3,251.89105357962964
