Variable,Value
x_Customer_1_Steel_Plant,1.0
y_Customer_1_Steel_Plant_1,800.0
y_Customer_1_Steel_Plant_2,800.0
y_Customer_1_Steel_Plant_3,800.0
y_Customer_1_Steel_Plant_4,800.0
y_Customer_1_Steel_Plant_5,800.0
y_Customer_1_Steel_Plant_6,800.0
y_Customer_1_Steel_Plant_7,800.0
y_Customer_1_Steel_Plant_8,800.0
y_Customer_1_Steel_Plant_9,800.0
y_Customer_1_Steel_Plant_10,800.0
y_Customer_1_Steel_Plant_11,800.0
y_Customer_1_Steel_Plant_12,800.0
y_Customer_1_Steel_Plant_13,800.0
y_Customer_1_Steel_Plant_14,800.0
y_Customer_1_Steel_Plant_15,800.0
y_Customer_1_Steel_Plant_16,800.0
y_Customer_1_Steel_Plant_17,800.0
y_Customer_1_Steel_Plant_18,800.0
y_Customer_1_Steel_Plant_19,800.0
y_Customer_1_Steel_Plant_20,800.0
y_Customer_1_Steel_Plant_21,800.0
y_Customer_1_Steel_Plant_22,800.0
y_Customer_1_Steel_Plant_23,800.0
y_Customer_1_Steel_Plant_24,800.0
y_Customer_1_Steel_Plant_25,800.0
y_Customer_1_Steel_Plant_26,800.0
y_Customer_1_Steel_Plant_27,800.0
y_Customer_1_Steel_Plant_28,800.0
y_Customer_1_Steel_Plant_29,800.0
y_Customer_1_Steel_Plant_30,800.0
x_Customer_2_Chemical_Plant,1.0
y_Customer_2_Chemical_Plant_1,452.0056107250366
y_Customer_2_Chemical_Plant_2,452.0056107250366
y_Customer_2_Chemical_Plant_3,452.0056107250366
y_Customer_2_Chemical_Plant_4,452.0056107250366
y_Customer_2_Chemical_Plant_5,452.0056107250366
y_Customer_2_Chemical_Plant_6,452.0056107250366
y_Customer_2_Chemical_Plant_7,452.0056107250366
y_Customer_2_Chemical_Plant_8,452.0056107250366
y_Customer_2_Chemical_Plant_9,452.0056107250366
y_Customer_2_Chemical_Plant_10,452.0056107250366
y_Customer_2_Chemical_Plant_11,452.0056107250366
y_Customer_2_Chemical_Plant_12,452.0056107250366
y_Customer_2_Chemical_Plant_13,452.0056107250366
y_Customer_2_Chemical_Plant_14,452.0056107250366
y_Customer_2_Chemical_Plant_15,452.0056107250366
y_Customer_2_Chemical_Plant_16,452.0056107250366
y_Customer_2_Chemical_Plant_17,452.0056107250366
y_Customer_2_Chemical_Plant_18,452.0056107250366
y_Customer_2_Chemical_Plant_19,452.0056107250366
y_Customer_2_Chemical_Plant_20,452.0056107250366
y_Customer_2_Chemical_Plant_21,452.0056107250366
y_Customer_2_Chemical_Plant_22,452.0056107250366
y_Customer_2_Chemical_Plant_23,452.0056107250366
y_Customer_2_Chemical_Plant_24,452.0056107250366
y_Customer_2_Chemical_Plant_25,452.0056107250366
y_Customer_2_Chemical_Plant_26,452.0056107250366
y_Customer_2_Chemical_Plant_27,452.0056107250366
y_Customer_2_Chemical_Plant_28,452.0056107250366
y_Customer_2_Chemical_Plant_29,452.0056107250366
y_Customer_2_Chemical_Plant_30,452.0056107250366
x_Customer_3_Airport,-0.0
y_Customer_3_Airport_1,0.0
y_Customer_3_Airport_2,0.0
y_Customer_3_Airport_3,0.0
y_Customer_3_Airport_4,0.0
y_Customer_3_Airport_5,0.0
y_Customer_3_Airport_6,0.0
y_Customer_3_Airport_7,0.0
y_Customer_3_Airport_8,0.0
y_Customer_3_Airport_9,0.0
y_Customer_3_Airport_10,0.0
y_Customer_3_Airport_11,0.0
y_Customer_3_Airport_12,0.0
y_Customer_3_Airport_13,0.0
y_Customer_3_Airport_14,0.0
y_Customer_3_Airport_15,0.0
y_Customer_3_Airport_16,0.0
y_Customer_3_Airport_17,0.0
y_Customer_3_Airport_18,0.0
y_Customer_3_Airport_19,0.0
y_Customer_3_Airport_20,0.0
y_Customer_3_Airport_21,0.0
y_Customer_3_Airport_22,0.0
y_Customer_3_Airport_23,0.0
y_Customer_3_Airport_24,0.0
y_Customer_3_Airport_25,0.0
y_Customer_3_Airport_26,0.0
y_Customer_3_Airport_27,0.0
y_Customer_3_Airport_28,0.0
y_Customer_3_Airport_29,0.0
y_Customer_3_Airport_30,0.0
x1,-0.0
x2,1.0
x_point_source,0.0
x_dac,0.0
x_ammonia_splitting,0.0
point_source_amount,-2.9103830456733717e-11
dac_amount,-2.9103830456733717e-11
x_transport_hydrogen,1.0
x_transport_ammonia,1.0
x_transport_jetfuel,0.0
init_investment,1818181818.181818
capacity_photovoltaic,0.0
capacity_wind,0.39000200383037026
capacity_PEM_electrolyzer,0.247337648294248
capacity_alkaline_electrolyzer,0.0
capacity_FT_synthesis,0.0
capacity_ammonia_synthesis,0.05733201556634153
capacity_ammonia_splitting,0.0
capacity_battery,1.9595552736748219
